order_id,stage,time_sec,wait_sec,svc_sec,idle_sec,time_diff
1,waiter,4.95,0.00,19.64,4.95,0.00
2,barista,8.45,0.00,198.72,8.45,0.00
3,barista,12.97,0.00,2.82,12.97,0.00
4,barista,24.59,0.00,96.96,8.79,0.00
5,barista,24.59,0.00,75.05,24.59,0.00
6,barista,24.59,0.00,19.31,24.59,0.00
7,waiter,34.90,0.00,30.22,10.32,0.00
8,waiter,61.59,0.00,23.98,61.59,0.00
9,barista,64.70,0.00,22.72,20.81,0.00
10,barista,87.42,22.29,76.93,0.00,22.29
11,barista,99.63,34.51,15.32,0.00,34.51
12,barista,114.95,49.82,34.59,0.00,49.82
13,barista,121.55,56.42,15.36,0.00,56.42
14,barista,136.91,58.66,211.85,0.00,58.66
15,barista,149.54,63.96,22.76,0.00,63.96
16,barista,164.35,78.78,27.07,0.00,78.78
17,waiter,172.30,82.79,58.05,107.17,82.79
18,barista,172.30,79.11,256.33,0.00,79.11
19,waiter,180.00,85.65,141.72,94.43,85.65
20,waiter,180.00,84.41,106.00,180.00,84.41
21,waiter,180.00,57.38,75.67,180.00,57.38
22,waiter,180.00,42.21,112.43,180.00,42.21
23,waiter,212.43,0.00,15.32,212.43,0.00
24,barista,227.74,0.00,5.32,20.58,0.00
25,barista,227.74,0.00,41.02,36.32,0.00
26,barista,233.06,2.71,72.26,0.00,2.71
27,barista,268.76,38.42,128.62,0.00,38.42
28,barista,305.32,49.65,12.26,0.00,49.65
29,barista,317.58,61.91,11.05,0.00,61.91
30,barista,328.63,72.95,150.06,0.00,72.95
31,barista,348.76,93.09,84.03,0.00,93.09
32,barista,397.39,141.72,215.79,0.00,141.72
33,barista,428.62,172.95,81.40,0.00,172.95
34,barista,432.79,146.79,19.18,0.00,146.79
35,barista,451.96,159.53,63.51,0.00,159.53
36,barista,478.68,186.25,69.54,0.00,186.25
37,waiter,480.00,187.05,35.28,249.65,187.05
38,waiter,480.00,176.56,40.06,158.28,176.56
39,barista,510.02,188.31,169.95,0.00,188.31
40,waiter,515.28,170.19,76.28,0.00,170.19
41,waiter,515.28,167.11,49.99,229.28,167.11
42,waiter,515.28,120.89,50.69,259.61,120.89
43,barista,515.47,119.69,65.31,0.00,119.69
44,waiter,520.06,98.13,6.26,0.00,98.13
45,waiter,520.06,72.70,47.42,227.63,72.70
46,barista,548.23,94.52,9.08,0.00,94.52
47,barista,557.30,47.28,3.63,0.00,47.28
48,barista,560.94,45.66,8.47,0.00,45.66
49,barista,569.40,49.34,152.79,0.00,49.34
50,barista,580.78,54.46,3.47,0.00,54.46
51,barista,584.25,18.98,41.04,0.00,18.98
52,barista,613.18,47.22,57.56,0.00,47.22
53,barista,625.30,57.81,89.46,0.00,57.81
54,barista,670.74,79.19,79.09,0.00,79.19
55,waiter,679.97,82.43,4.16,88.42,82.43
56,barista,679.97,62.88,79.11,0.00,62.88
57,waiter,684.13,14.47,44.72,0.00,14.47
58,barista,714.76,30.63,49.38,0.00,30.63
59,barista,728.86,0.00,78.91,6.66,0.00
60,waiter,813.81,0.00,2.53,84.95,0.00
61,barista,816.33,0.00,44.65,8.57,0.00
62,waiter,897.51,0.00,11.48,81.18,0.00
63,barista,908.99,0.00,10.07,48.01,0.00
64,barista,1099.90,0.00,69.29,180.84,0.00
65,waiter,1142.68,0.00,239.81,233.70,0.00
66,waiter,1234.79,0.00,89.29,708.46,0.00
67,waiter,1265.05,0.00,22.31,699.78,0.00
68,barista,1287.36,0.00,60.67,118.17,0.00
69,barista,1324.08,0.00,56.56,559.94,0.00
70,barista,1382.50,0.00,97.60,34.47,0.00
71,waiter,1491.12,0.00,40.09,108.62,0.00
72,barista,1493.66,0.00,155.37,13.56,0.00
73,barista,1510.70,0.00,33.64,130.06,0.00
74,waiter,1515.37,0.00,23.41,191.29,0.00
75,barista,1531.21,0.00,12.03,772.13,0.00
76,barista,1538.77,0.00,70.95,788.94,0.00
77,waiter,1543.82,0.00,162.93,12.61,0.00
78,barista,1574.37,0.00,4.67,30.03,0.00
79,waiter,1599.73,0.00,121.80,60.96,0.00
80,barista,1621.00,0.00,4.96,41.97,0.00
81,barista,1706.76,0.00,19.66,57.73,0.00
82,barista,1721.53,0.00,107.48,95.57,0.00
83,barista,1822.01,0.00,240.10,95.59,0.00
84,waiter,1882.81,0.00,38.76,176.05,0.00
85,barista,1921.57,0.00,184.03,92.56,0.00
86,barista,1924.62,0.00,51.20,381.38,0.00
87,waiter,1928.77,0.00,197.68,7.20,0.00
