order_id,stage,time_sec,wait_sec,svc_sec,idle_sec,time_diff
1,waiter,13.45,0.00,6.62,13.45,0.00
2,barista,14.72,0.00,32.02,14.72,0.00
3,barista,20.07,0.00,137.90,20.07,0.00
4,barista,20.07,0.00,13.32,20.07,0.00
5,barista,20.07,0.00,17.99,20.07,0.00
6,barista,33.40,13.32,10.43,0.00,13.32
7,waiter,38.33,0.00,77.96,18.26,0.00
8,waiter,71.75,0.00,73.75,71.75,0.00
9,waiter,87.96,0.00,37.26,87.96,0.00
10,barista,92.06,0.00,44.27,45.32,0.00
11,barista,116.29,0.00,73.07,72.47,0.00
12,barista,116.29,0.00,97.75,78.23,0.00
13,barista,136.33,20.05,48.85,0.00,20.05
14,barista,157.98,32.75,71.60,0.00,32.75
15,barista,185.18,48.50,99.78,0.00,48.50
16,barista,189.36,43.86,8.87,0.00,43.86
17,barista,198.22,52.73,119.60,0.00,52.73
18,waiter,214.03,28.40,97.54,97.75,28.40
19,waiter,233.09,0.00,0.86,87.59,0.00
20,barista,233.95,0.00,22.55,4.38,0.00
21,barista,233.95,0.00,53.95,19.92,0.00
22,barista,256.50,22.55,1.72,0.00,22.55
23,barista,258.22,24.27,160.34,0.00,24.27
24,waiter,268.98,16.42,10.10,35.03,16.42
25,barista,284.96,32.39,12.51,0.00,32.39
26,waiter,287.90,34.03,25.21,8.83,34.03
27,waiter,287.90,18.92,107.73,162.68,18.92
28,barista,287.90,8.83,93.97,0.00,8.83
29,barista,297.47,18.39,13.53,0.00,18.39
30,barista,311.58,0.00,52.71,0.57,0.00
31,barista,317.82,6.24,47.27,0.00,6.24
32,barista,364.28,52.71,69.06,0.00,52.71
33,barista,365.09,51.98,52.97,0.00,51.98
34,barista,381.87,68.76,4.51,0.00,68.76
35,barista,386.38,22.51,6.88,0.00,22.51
36,barista,393.26,29.16,211.74,0.00,29.16
37,waiter,395.64,13.86,189.98,84.06,13.86
38,barista,418.06,22.42,35.30,0.00,22.42
39,waiter,418.56,22.36,9.10,105.45,22.36
40,waiter,419.73,0.00,19.19,24.09,0.00
41,barista,427.67,0.00,3.76,9.10,0.00
42,barista,438.92,0.00,33.56,5.58,0.00
43,waiter,447.58,0.00,126.63,19.91,0.00
44,waiter,463.49,0.00,6.55,24.57,0.00
45,barista,470.04,0.00,78.87,38.61,0.00
46,waiter,483.47,0.00,99.03,13.43,0.00
47,waiter,561.05,0.00,18.99,561.05,0.00
48,barista,574.21,0.00,2.01,101.73,0.00
49,barista,580.03,0.00,32.37,3.81,0.00
50,barista,582.50,0.00,7.81,33.59,0.00
51,barista,585.62,0.00,36.33,132.26,0.00
52,waiter,590.45,0.00,169.02,4.84,0.00
53,waiter,598.03,0.00,2.33,23.82,0.00
54,waiter,598.49,0.00,13.33,15.99,0.00
55,barista,600.36,0.00,25.42,10.05,0.00
56,waiter,609.36,0.00,54.56,9.00,0.00
57,barista,611.82,0.00,6.44,6.82,0.00
58,barista,663.92,0.00,82.89,51.51,0.00
59,barista,759.48,0.00,112.74,12.67,0.00
60,waiter,844.62,0.00,17.94,85.15,0.00
61,barista,862.56,0.00,14.52,236.79,0.00
62,waiter,1045.60,0.00,73.90,183.04,0.00
63,waiter,1098.26,0.00,3.44,434.34,0.00
64,barista,1101.70,0.00,189.21,229.48,0.00
65,barista,1119.50,0.00,272.98,242.41,0.00
66,waiter,1173.43,0.00,157.56,53.94,0.00
67,waiter,1214.55,0.00,6.62,112.85,0.00
